Maintainers by package:
0ad                  kalev limb pcpa
libXpresent          kevin raveit65
libXvMC              ajax alexl bentiss rhughes rstrode
libXxf86dga          ajax alexl bentiss jexposit rhughes rstrode
libXxf86misc         ajax alexl bentiss rhughes rstrode
libacars             vascom
libaccounts-glib     marcdeop
libaec               junghans
libaesgm             orion spot
libalkimia           farchord
libappindicator      dcavalca echevemaster ngompa salimma tpokorra
libarcus             churchyard
libart               dcavalca
libart_lgpl          alexl rhughes rstrode yselkowitz
libass               ngompa xavierb
libast               terjeros
libax25              hobbes1069
libbatch             smani
libbonobo            alexl rhughes rstrode trawets
libbonoboui          alexl rhughes rstrode trawets
libbs2b              kvolny
libcaca              slaanesh xavierb
libcacard            crobinso elmarco jjelen jwrdegoede teuf
libcerf              jamatos junghans tdawson
libcgi               spot
libcgif              remi
libcgroup            jchaloup nforro
libchamplain         kalev mclasen
libchardet           martinkg
libcint              jussilehtola
libcircle            junghans
libclaw              lkundrak martinkg xavierb
libcmpiutil          trawets
libcoap              pbrobinson
libcompizconfig      jskarvad
libcorrect           vascom
libcryptui           raveit65
libcutl              sagitter
libdasm              rebus
libdbi               fjanus jonathanspw limb
libdbi-drivers       fjanus limb
libdbusextended-qt5  zsun
libdigidocpp         cserpentis germano
libdnet              carlosrodrifernandez
libdockapp           sham1
libdrm-armada        lkundrak
libecpint            junghans
libefp               jussilehtola
libesmtp             dcavalca jonathanspw jskarvad
libetnaviv           lkundrak
libevdevPlus         ngompa wef
libfep               ueno
libfilteraudio       eclipseo
libftdi              hobbes1069 robert sharkcz
libfullock           hiwkby
libgadu              rathann
libgamerzilla        dulsi
libgdamm             spot
libgdata             rishi
libgdiplus           laxathom rhughes rstrode tpokorra
libgeotiff           devrim orion smani
libgepub             kalev mclasen rishi
libgit2              decathorpe sgallagh
libgit2-glib         ignatenkobrain kalev ngompa
libglade2            alexl rhughes rstrode yselkowitz
libgle               ajax
libglib-testing      kalev mclasen
libglpng             jwrdegoede
libgnome             alexl rhughes rstrode trawets
libgnome-keyring     mclasen rishi
libgnomecanvas       alexl rhughes rstrode yselkowitz
libgnomecanvasmm26   nphilipp verdurin
libgpod              alexl chkr limb rhughes rstrode teuf tpokorra
libgta               jkucera tdawson
libibcommon          dcavalca honli michich slaanesh steved
libicns              hobbes1069 musuruan xavierb
libiec61883          nphilipp slaanesh
libime               yanqiyu
libinjection         ngompa
libirman             leamas ondrejj
libjoedog            besser82 cdamian
libkcddb             than yselkowitz
libkdegames          than
libkeduvocdocument   marcdeop
libkrunfw            slp
liblbfgs             smani
liblinear            besser82
liblo                nphilipp salimma tartina
liblxqt              tieugene zsun
liblzf               stevetraylen
libmash              rhughes
libmatekbd           raveit65 robert
libmateweather       raveit65 robert
libmatroska          kwizart ngompa rathann
libmcrypt            remi spot
libmikmod            aekoroglu jwrdegoede
libmodbus            sandeen
libmodman            trawets
libmp4v2             amigadave rathann
libmpris-qt5         cheeselee zsun
libmusicbrainz5      teuf
libmygpo-qt          marcdeop
libmypaint           nphilipp
libnetfilter_acct    hushan
libnova              huzaifas
liboauth             salimma
liboil               ajax alexl rhughes rstrode trawets
libopkele            kevin
libopusenc           pbrobinson
libotr               pwouters
libpgf               nucleo orion tdawson
libphonenumber       ngompa thunderbirdtr
libpng               mhlavink nforro phracek
libpng12             mhlavink nforro phracek
libpng15             mhlavink nforro phracek
libpqxx              besser82 mkrupcale
libprojectM          ngompa
libpsm2              honli kheib michich
libqtxdg             cicku lkundrak tieugene zsun
libqxt-qt5           martinkg
librabbitmq          remi
libraqm              moceap
libraw1394           nphilipp
librcd               kvolny
libresample          jsmith
libretro-gw          atim
libretro-handy       atim
libretro-pcsx-rearmed atim
librs232             dwrobel
libsafec             aekoroglu
libscrypt            dfateyev
libsecp256k1         jonny peter slaanesh
libsexy              spot
libshout             jskarvad ngompa
libsoundio           jskarvad
libspf2              bojan
libspnav             hobbes1069
libsqlite3x          sailer tachoknight
libtar               huzaifas kdudka
libtermkey           asn salimma
libtoml              jeckersb
libtool              fberat fjanus jakub kasal praiskup
libtree              fnux
libtree-ldd          mikelo2
libtwin              dwmw2
libu2f-host          jonathanspw
libu2f-server        jonathanspw
libuInputPlus        ngompa wef
libucl               fnux
libuev               alciregi
libuninum            terjeros
libupnp              ajax cicku jdieter kwizart limb rathann slaanesh
libusb-compat-0.1    benzea smallorange
libusb1              benzea jwrdegoede smallorange victortoso
libusbauth-configparser kochstefan
libva-utils          kwizart
libva-v4l2-request   kwizart rathann
libvidcap            spot
libvirt-java         trawets
libvirt-python       berrange
libvirt-sandbox      jonathanspw
libvterm             asn salimma
libwebsockets        fab pbrobinson
libwfut              bruno
libwnck              alexl jonathanspw rhughes rstrode
libwpg               dtardon
libwvstreams         jskarvad msekleta thozza
libx86               jcpunk
libxdiff             spot
libxfce4ui           kevin nonamedotc orion
libxfce4util         kevin nonamedotc
libxo                kanitha
libyubikey           nb wzzrd
libyui               jonathanspw ngompa thunderbirdtr
libyui-gtk           jonathanspw ngompa thunderbirdtr
libyui-mga           jonathanspw ngompa thunderbirdtr
libyui-mga-gtk       jonathanspw ngompa thunderbirdtr
libyui-mga-ncurses   ngompa thunderbirdtr
libyui-mga-qt        jonathanspw ngompa thunderbirdtr
libzdb               cicku jujens
lightdm-autologin-greeter ngompa
lilv                 nphilipp tartina
linux-firmware       dwmw2 jforbes jwboyer pbrobinson
linux-system-roles   ngompa pcahyna rmeggins spetros till
liquid-dsp           hobbes1069
lirc                 hobbes1069 kni leamas seanyoung
lis                  flo
llconf               ppisar
lld13                petersen sergesanspaille
lldpd                aconole
llvm11               petersen sergesanspaille tstellar
llvm12               petersen sergesanspaille
llvm13               petersen sergesanspaille
lmfit                churchyard junghans
lmms                 thm
lnav                 cicku pschiffe
log4c                stevetraylen valtri
log4cpp              stevetraylen
lolcat               cheese
lookup               mspacek
lordsawar            bruno
lovelock-kde-theme   q5sys than
lpairs               szpak
lpcnetfreedv         hobbes1069 robert
lpf                  leamas slaanesh
lrmi                 pwouters
lskat                than
lsw                  psabata
lua-alt-getopt       salimma
lua-argparse         caleb jonny
lua-basexx           jruzicka pspacek
lua-binaryheap       jruzicka
lua-bit32            asn salimma
lua-bitop            asn jruzicka orion
lua-compat53         jruzicka salimma
lua-coxpcall         fed500
lua-cqueues          jruzicka
lua-dbi              robert
lua-event            robert
lua-expat            robert
lua-fifo             jruzicka
lua-filesystem       robert salimma
lua-http             jruzicka
lua-inotify          salimma
lua-json             orion salimma
lua-ldap             chkr
lua-ldoc             thm
lua-lgi              thm
lua-loop             salimma
lua-lpeg             asn salimma
lua-lpeg-patterns    jruzicka
lua-luaossl          jruzicka
lua-lunitx           orion salimma
lua-lxc              thm
lua-markdown         thm
lua-md5              kevin
lua-mmdb             jruzicka
lua-moonscript       salimma
lua-mosquitto        dwrobel
lua-mpack            asn salimma
lua-penlight         thm
lua-posix            orion robert salimma
lua-psl              jruzicka
lua-readline         robert salimma
lua-sec              robert
lua-socket           robert
lua-sql              salimma
lua-term             orion
lua-unbound          robert
luabind              spot
luajit               asn siddhesh
luarocks             ktdreyer salimma
luit                 ajax ofourdan thomas-dickey
lumina-desktop       tieugene
lutok                mrc0mmand
lv2                  nphilipp slaanesh tartina
lv2-mdala-plugins    vascom
lxc                  sagarun thm
lxqt-about           sfaulken tieugene
lxqt-openssh-askpass sfaulken tieugene
lzma-sdk457          spot
mISDN                dwmw2
maeparser            fuller sagitter
maliit-framework     chimosky marcdeop
maliit-keyboard      jgrulich thunderbirdtr
mallard-rng          amigadave
man-pages-l10n       ljavorsk mfabian nforro
mangohud             atim
mapserver            devrim jujens neil pali smani
marco                raveit65 robert
marked               sdgathman
mate-applets         raveit65 robert
mate-control-center  raveit65 robert
mate-desktop         raveit65 robert
mate-icon-theme      raveit65 robert
mate-media           raveit65 robert
mate-menu            raveit65 robert
mate-menus           raveit65 robert
mate-panel           raveit65 robert
mate-polkit          raveit65 robert
mate-screensaver     raveit65 robert
mate-utils           raveit65 robert
mathjax              ellert zbyszek
mathomatic           terjeros
maven-native         deamn
mcrouter             salimma
mdbtools             jwrdegoede lkundrak
mdk                  filiperosset
meanwhile            slaanesh
media-player-info    mclasen
mediaconch           vascom
mednafen             belegdol
megaglest-data       vtrefny
memchan              spot
metapixel            filiperosset
micro                eclipseo
micronucleus         lkundrak
miglayout            hanecak
migrationtools       than
mikmod               aekoroglu jwrdegoede phracek
milter-greylist      pghmcfc
mimalloc             vascom
mimetic              cicku dfateyev
mimic                pbrobinson
minetest             bookwar ignatenkobrain limb
mingw-SDL_image      kalev smani
mingw-angleproject   smani
mingw-atk            kalev rjones smani
mingw-brotli         etrunko
mingw-bzip2          elmarco etrunko rjones
mingw-c-ares         valtri
mingw-cairomm        rjones sailer
mingw-colord         rhughes
mingw-curl           mooninite
mingw-drmingw        sailer
mingw-expat          rjones smani
mingw-fcgi           smani
mingw-fontconfig     rjones smani
mingw-freeglut       rjones
mingw-glew           smani
mingw-goocanvas2     kalev smani
mingw-graphene       elmarco
mingw-graphite2      smani
mingw-gsl            nucleo rjones
mingw-gsm            valtri
mingw-gtkmm24        elmarco rjones sailer
mingw-gtksourceview3 kalev smani
mingw-hamlib         hobbes1069
mingw-harfbuzz       kalev smani
mingw-id3lib         amigadave
mingw-jansson        smani
mingw-jimtcl         sailer
mingw-jsoncpp        ngompa
mingw-lcms           sailer
mingw-lcms2          sailer
mingw-libarchive     mooninite
mingw-libconfuse     sailer
mingw-libcroco       rhughes
mingw-libepoxy       kalev smani teuf
mingw-libftdi        sailer
mingw-libgamerzilla  dulsi
mingw-libgcrypt      elmarco etrunko rjones teuf
mingw-libglade2      rjones sailer
mingw-libglademm24   rjones sailer
mingw-libgnurx       rjones
mingw-libgpg-error   elmarco etrunko rjones teuf
mingw-libgta         smani
mingw-libimagequant  smani
mingw-libltdl        ndim
mingw-libmicrohttpd  mooninite
mingw-libogg         kraxel
mingw-libpsl         etrunko
mingw-libsigc++20    rjones sailer
mingw-libsqlite3x    rjones sailer
mingw-libtiff        mooninite orion
mingw-libvorbis      kalev smani
mingw-libxml++       rjones sailer
mingw-libxml2        rjones
mingw-libxslt        kalev orion rjones smani
mingw-llvm           smani
mingw-log4c          valtri
mingw-mpfr           sailer
mingw-openssl        elmarco etrunko rjones teuf
mingw-opus           valtri
mingw-orc            elmarco mooninite rjones
mingw-plotmm         rjones sailer
mingw-portablexdr    elmarco rjones
mingw-postgresql     mooninite
mingw-python-affine  smani
mingw-python-chardet smani
mingw-python-charset-normalizer smani
mingw-python-ephem   smani
mingw-python-pyparsing smani
mingw-python-pyproj  smani
mingw-python-pytz    smani
mingw-python-pyyaml  smani
mingw-python-setuptools smani
mingw-python-six     smani
mingw-python-tomli   smani
mingw-python-urllib3 smani
mingw-qextserialport smani
mingw-qt5-qtscript   smani
mingw-rest           elmarco etrunko
mingw-sparsehash     sailer
mingw-spatialindex   smani
mingw-speexdsp       orphan
mingw-spice-gtk      elmarco etrunko rjones teuf victortoso
mingw-spice-protocol elmarco etrunko kraxel teuf victortoso
mingw-spirv-headers  smani
mingw-tcl            rjones sailer
mingw-tk             smani
mingw-twaindsm       smani
mingw-usbredir       elmarco jwrdegoede teuf victortoso
mingw-windows-default-manifest c72578
mingw-wine-gecko     mooninite
mingw-wpcap          rjones sailer
mingw-yaml-cpp       smani
mingw-zfstream       rjones sailer
minisign             fkooman
miniupnpc            slaanesh
miniupnpd            mooninite
mint-y-icons         leigh123linux
mirmon               cicku jonathanspw rcallicotte
mk-files             fnux
mkdocs-material      dcavalca
mlmmj                dfateyev
mlt                  martinkg ngompa
mlton                agoode rjones
mm                   ixs
mmtf-cpp             sagitter
mnmlicons-fonts      leamas
mock-centos-sig-configs dcavalca ngompa salimma
mod_auth_openid      kevin
mod_log_post         robert
mod_mono             tpokorra
module-build         mcurlej
monafont             mtasaka
mongoose             aquini jkastner
mono-addins          tpokorra
mono-basic           tpokorra
mono-bouncycastle    kalev
mono-cecil           tpokorra
mono-cecil-flowanalysis spot
mono-reflection      spot
mono-tools           laxathom tpokorra
mono-zeroconf        tpokorra
monocypher           patrikp
mosquitto            jonathanspw pbrobinson
motif                jexposit limb twoerner
mousetweaks          mclasen
mozilla-ublock-origin rathann
mozilla-zilla-slab-fonts ngompa
mozo                 raveit65 robert
mp3fs                sdgathman
mp3gain              kvolny
mplus-fonts          aekoroglu
mpqc                 cicku mtasaka
mpris-scrobbler      gbcox jflory7
mpssh                ingvar
mqtt-randompub       pbrobinson
mrrescue             mystro256
msimonson-anonymouspro-fonts fed500
msoffcrypto-tool     rebus robert
multimarkdown        yselkowitz
multimedia-menus     eeickmeyer
multitail            jussilehtola kashyapc mikelo2
multiwatch           xavierb
mum-hash             fnux
mup                  gbailey
mupen64plus          dcavalca dreua ngompa
muse                 orphan
musl                 ngompa salimma
mxparser             didiksupriadi41 sbluhm
mycli                fale jonathanspw terjeros
mygui                chapien
mypaint              yselkowitz
mysql-connector-net  mschorm tpokorra
mysql-connector-odbc ljavorsk mschorm psloboda
nanomsg              cottsay
nas                  ppisar
nativejit            sagitter
nawk                 mmckinst
nbc                  dcavalca
ncdc                 aekoroglu cicku
ncl                  orion
ncrack               rebus
ndesk-dbus           tpokorra
ndesk-dbus-glib      tpokorra
nemo                 leigh123linux
neomutt              flatcap steve
nes_ntsc             dtimms
netatalk             cicku kni
netbsd-iscsi         lkundrak
netcdf4-python       orion
nethack-vultures     bruno
newtonsoft-json      tpokorra
nextcloud            kni
nextpnr              lkundrak somlo
nexus                sic
nfs-utils            bfields steved
nfswatch             c4chris
nginx-mod-vts        daxelrod dminer heffer mikelo2 ngompa
ngspice              mtasaka
nickle               salimma
nmh                  levined
nng                  stevenfalco
nodejs-acorn-object-spread jsmith
nodejs-backbone      aekoroglu
nodejs-bash-language-server asn pfilipen
nodejs-buble         jsmith
nodejs-colors        jsmith
nodejs-linefix       jsmith
nodejs-packaging     aradchen jstanek mrunge sgallagh tjuhasz
nodejs-replace-require-self jsmith
nodejs-underscore    orphan
noggin               jonathanspw ngompa
nomacs               tieugene
notify-sharp         tpokorra
notify-sharp3        tpokorra
nqc                  dcavalca
ns-bola-fonts        aekoroglu
ns-tiza-chalk-fonts  aekoroglu
nsca-ng              filiperosset
nss_nis              anezbeda fjanus osloup pkubat
numlockx             drago01
nunit                tpokorra
nunit2               tpokorra
nv-codec-headers     kwizart xavierb
nvidia-query-resource-opengl kwizart
nvidia-texture-tools kalev limb
nwg-panel            ngompa
nyancat              ttomecek
obfs4                hedayat
obs-service-rust2rpm ngompa
ocaml-base64         cheeselee rjones
ocaml-cmdliner       rjones
ocaml-curl           dchen rjones
ocaml-sedlex         andyli
ocaml-sha            andyli
ochusha              mtasaka
oclock               aarem
ocproxy              raphgro
octave-general       orion sailer
octave-interval      cbm orion sailer
octave-io            orion
octave-optim         sailer
octave-specfun       sailer
octave-zmat          fangq
octomap              cottsay rineau
oddjob-gpupdate      pfilipen
officeparser         rebus
oflb-dignas-handwriting-fonts musuruan
oflb-smonohand-fonts salimma
ogdi                 sharkcz
ogr2osm              musuruan
ogre                 dtimms ignatenkobrain jwrdegoede
ois                  bruno cottsay
okteta               jgrulich marcdeop than
ooo2txt              ppisar
opae                 trix
opal                 peter pfrields
open-eid             cserpentis germano
open-mtools          ppisar
openal-soft          fcami jwrdegoede tdawson
openarc              prgutier
openbox-theme-mistral-thin ngompa
openbox-theme-mistral-thin-dark ngompa
openconnect-gateway  raphgro
opendyslexic-fonts   spot
openelp              cottsay
openiked             hargonix
openlibm             nalimilan
openlierox           jwrdegoede
openmeeg             sagitter
openmpi              jonathanspw orion
openni               cottsay jkastner
openrdate            fjanus
openresolv           pemensik
opensmtpd            dfateyev
openspecfun          nalimilan orion
openssh-ldap-authkeys ngompa
opentoonz            dherrera
openvpn-auth-ldap    robert
ophcrack             alciregi
optipng              hanecak
opus-tools           pbrobinson
orafce               fjanus osloup pkubat praiskup
orangefs             terjeros
orthorobot           mystro256
osbs-client          cverna maxamillion twaugh
otf2bdf              yangrr
otter-browser        martinkg
overlayfs-tools      rathann
oxygen-fonts         jgrulich marcdeop than
oxygen-gtk2          marcdeop nucleo
oz                   clalance
p11-remote           lkundrak
p7zip                dcavalca salimma
packmol              jussilehtola
palapeli             than
pam_afs_session      ktdreyer
pam_krb5             jcpunk
pam_yubico           nb wzzrd
parallel             filiperosset golfu mikelo2
passivetex           ovasik
pax                  ovasik pkubat praiskup
pcfi                 orion
pcsc-lite-acsccid    jjelen
pcsc-lite-asekey     ppisar
perl-Algorithm-Loops eclipseo
perl-Best            iarnell jplesnik ppisar
perl-CGI-Struct      eseyman
perl-Cairo           spot
perl-Catalyst-Plugin-Cache eseyman iarnell
perl-Config-Model-CursesUI eseyman hvad jplesnik
perl-Config-Model-Itself eseyman hvad jplesnik
perl-ConfigReader    ixs orion
perl-Date-Holidays-DE robert
perl-Diff-LibXDiff   ngompa
perl-Dir-Manifest    shlomif
perl-EBook-EPUB      eseyman
perl-Encode-HanExtra xavierb
perl-Eval-LineNumbers eseyman
perl-FCGI-ProcManager eseyman jplesnik ppisar
perl-File-FindLib    eseyman
perl-GStreamer1      ppisar
perl-Games-Solitaire-Verify shlomif
perl-Geography-Countries pghmcfc spot
perl-Gnome2-GConf    jplesnik ppisar
perl-Gnome2-Vte      ppisar
perl-Gtk2            spot
perl-Gtk2-Ex-FormFactory ppisar
perl-Gtk2-Ex-Utils   jplesnik ppisar
perl-Gtk2-GladeXML   jplesnik ppisar
perl-Gtk2-Notify     jplesnik ppisar
perl-Gtk2-Sexy       jplesnik ppisar
perl-Gtk2-Spell      jplesnik ppisar
perl-Gtk2-TrayIcon   jplesnik ppisar
perl-HTML-HTML5-Entities eseyman jplesnik
perl-HTML-HTML5-Sanity eseyman
perl-HTML-Template-Pro eseyman lkundrak
perl-HTTP-Link-Parser ppisar
perl-HTTP-Soup       eseyman
perl-Hijk            eseyman
perl-Icon-FamFamFam-Silk jplesnik ppisar
perl-Image-Base      spot xavierb
perl-Image-Size      spot xavierb
perl-JSON-Create     ppisar
perl-Library-CallNumber-LC eseyman
perl-Locale-Maketext-Fuzzy spot
perl-Mail-RFC822-Address ixs sbluhm
perl-Math-Random-ISAAC eseyman
perl-Math-Random-ISAAC-XS eseyman
perl-Math-Random-MT  shlomif
perl-Module-Install-Contributors jplesnik ppisar
perl-Module-Install-Copyright jplesnik ppisar
perl-Module-Install-TrustMetaYml jplesnik ppisar
perl-Module-Package-RDF ppisar
perl-Mojo-RabbitMQ-Client eseyman
perl-MooX-Role-Parameterized ppisar
perl-MooseX-ArrayRef eseyman jplesnik
perl-MooseX-AttributeShortcuts eseyman jplesnik
perl-MooseX-MarkAsMethods eseyman jplesnik
perl-MooseX-Meta-TypeConstraint-Mooish eseyman jplesnik
perl-MooseX-Role-Tempdir eseyman jplesnik ppisar
perl-MooseX-Role-XMLRPC-Client eseyman iarnell jplesnik ppisar
perl-MooseX-TraitFor-Meta-Class-BetterAnonClassNames eseyman
perl-MooseX-Util     eseyman
perl-MusicBrainz-DiscID gbcox
perl-Net-Patricia    kevin philipp
perl-Net-Server-Coro eseyman
perl-Net-UPnP        ppisar xavierb
perl-NetPacket       ppisar
perl-PSGI            eseyman jplesnik ppisar
perl-Pango           spot
perl-PatchReader     eseyman
perl-PerlX-Maybe-XS  ppisar
perl-RDF-Prefixes    jplesnik ppisar
perl-RDF-TriN3       jplesnik ppisar
perl-Reply           jplesnik ppisar
perl-Sentry-Raven    xavierb
perl-Sort-MergeSort  dfateyev
perl-Spreadsheet-ParseXLSX qulogic
perl-Statistics-Basic jplesnik ppisar
perl-TAP-SimpleOutput jplesnik ppisar
perl-Term-ShellUI    cra echevemaster eseyman xavierb
perl-Test-Data-Split shlomif
perl-Test-Mock-Time  eseyman
perl-Test-Moose-More jplesnik ppisar
perl-Test-Run        jplesnik ppisar
perl-Test-Run-CmdLine jplesnik ppisar
perl-Test-RunValgrind shlomif
perl-Text-Sprintf-Named jplesnik ppisar
perl-Text-Table      eseyman jplesnik ppisar
perl-Time-Moment     dfateyev
perl-Tk-TableMatrix  eseyman xavierb
perl-Unix-Process    jplesnik ppisar
perl-WWW-Search      xavierb
perl-XML-Atom-OWL    ppisar
perl-XML-LibXML-Debugging ppisar
perl-XML-LibXML-Devel-SetLineNumber jplesnik ppisar
perl-XML-LibXML-PrettyPrint jplesnik ppisar
perl-autobox-Junctions jplesnik ppisar
perl-libwhisker2     ppisar
pew                  tadej
pfstools             tsmetana
pg-semver            msrb
pg_activity          mikelo2
pg_auto_failover     fjanus osloup
pgp-tools            fale lkundrak
pgpdump              cicku nb turboben
phodav               elmarco teuf
phonon               marcdeop than
phonon-backend-gstreamer marcdeop than
php-Monolog          siwinski
php-PHPParser        remi siwinski
php-PsrLog           remi
php-bacon-qr-code2   remi
php-brick-varexporter remi
php-cache-integration-tests siwinski
php-cache-tag-interop siwinski
php-composer-ca-bundle remi
php-composer-metadata-minifier remi
php-composer-pcre    remi
php-composer-xdebug-handler remi
php-composer-xdebug-handler2 remi
php-doctrine-collections remi siwinski
php-doctrine-deprecations remi
php-doctrine-event-manager remi
php-doctrine-inflector remi siwinski
php-doctrine-inflector2 remi
php-doctrine-instantiator remi
php-doctrine-lexer   remi siwinski
php-doctrine-sql-formatter remi
php-egulias-email-validator2 remi
php-fedora-autoloader remi siwinski
php-feedcreator      xavierb
php-felixfbecker-advanced-json-rpc3 remi
php-fig-http-message-util remi
php-gettext-gettext  petersen suanand
php-guzzlehttp-promises siwinski
php-http-interop-http-middleware remi
php-http-message-factory remi
php-iamcal-lib-autolink remi
php-icewind-smb2     remi
php-justinrainbow-json-schema5 remi
php-khanamiryan-qrcode-detector-decoder remi
php-league-container4 remi
php-league-flysystem remi
php-league-mime-type-detection remi
php-league-plates    remi
php-league-tactician remi
php-libvirt          ngompa
php-liuggio-statsd-php-client mooninite
php-masterminds-html5 siwinski
php-microsoft-tolerant-php-parser remi
php-mnapoli-phpunit-easymock siwinski
php-mock-integration2 remi
php-mock-phpunit2    remi
php-mock2            remi
php-mtdowling-jmespath-php siwinski
php-myclabs-deep-copy remi
php-myclabs-php-enum remi
php-nikic-php-parser3 remi
php-oauth            fkooman remi
php-ocramius-code-generator-utils remi siwinski
php-oojs-oojs-ui     mooninite
php-paragonie-constant-time-encoding fkooman
php-pear-Console-Table remi
php-pear-Crypt-Blowfish xavierb
php-pear-Crypt-CHAP  remi xavierb
php-pear-Date        remi
php-pear-HTML-Template-IT hvad
php-pear-HTTP-Request remi
php-pear-MDB2        remi
php-pear-MDB2-Driver-mysqli remi
php-pear-MDB2-Driver-pgsql remi
php-pear-Mail-mimeDecode remi
php-pear-Net-Curl    kevin remi
php-pear-Net-IDNA2   terjeros
php-pear-Net-URL     remi
php-pear-XML-Parser  remi
php-pear-math-biginteger remi
php-pecl-ds          remi
php-pecl-krb5        remi
php-pecl-yaml        remi
php-phar-io-manifest remi
php-phar-io-version  remi
php-phpdocumentor-reflection-common2 remi
php-phpdocumentor-reflection-docblock5 remi
php-phpdocumentor-type-resolver1 remi
php-phpseclib        remi suve
php-phpspec-prophecy remi
php-phpspec-prophecy-phpunit remi
php-phpunit-git      remi
php-phpunit-php-timer3 remi
php-phpunitgoodpractices-polyfill remi
php-psr-cache        siwinski
php-psr-container    remi
php-psr-container2   remi
php-psr-event-dispatcher remi
php-psr-http-factory remi
php-psr-http-message siwinski
php-psr-http-server-handler remi
php-psr-http-server-middleware remi
php-psr-link         siwinski
php-psr-simple-cache siwinski
php-samyoul-u2f-php-server remi
php-seld-cli-prompt  remi
php-seld-phar-utils  remi
php-swaggest-json-diff remi
php-swaggest-json-schema remi
php-symfony-contracts2 remi
php-symfony-requirements-checker remi
php-twig             siwinski
php-webimpress-http-middleware-compatibility remi
php-webimpress-safe-writer remi siwinski
php-webmozart-assert siwinski
php-wikimedia-assert mooninite
php-zordius-lightncandy mooninite
php-zstd             remi
php-zumba-json-serializer remi
phpcpd               remi
physfs               spot
picmi                than
pidgin               jskarvad nosnilmot
pidgin-chime         dwmw2 mcrha
pigeonascent         dulsi
pilot-link           alexlan jchaloup nforro
pimd                 linville
pinpoint             bytehackr
pinta                tpokorra
pipewire0.2          wtaymans
pkcs11-dump          kalev
plasma-applet-translator tdawson vascom
plasma-mobile-sounds farchord
plasma-workspace     jgrulich marcdeop than
playitagainsam       churchyard
plee-the-bear        jwrdegoede martinkg spot
plexus-interactivity mizdebsk mkoncek
plib                 jwrdegoede
plotmm               nphilipp
plplot               orion
pluma                raveit65 robert
plymouth-theme-hot-dog wwoods
pnglite              lkundrak
poedit               c72578
polari               aekoroglu
poly2tri             churchyard cottsay
polybar              atim
portaudio            jwrdegoede peter salimma
postfix-mta-sts-resolver thebeanogamer
postgresql-ip4r      devrim fjanus praiskup
postgresql-pgpool-II devrim fjanus osloup praiskup
pothana2000-fonts    aekoroglu
povray               corsepiu
powerline            salimma sicherha
pptpd                jskarvad
preeny               jskarvad
prestopalette        dagostinelli
prettyping           suve
primer3              pingou
primesieve           walki
prison               topazus
procdump             jfaracco
progman              dcavalca
prosody              robert
proxytunnel          jonathanspw
prwd                 cicku dfateyev
psi-notify           salimma
psi4                 jussilehtola
pslib                orion
pspg                 praiskup
pssh                 jcpunk terjeros
ptlib                peter
pugixml              hobbes1069
pure-ftpd            jonathanspw
putty                jskarvad
puzzles              gbailey
pwkickstart          lzap
py-spidev            pbrobinson
pybox2d              chimosky
pycanberra           limb
pychromecast         pbrobinson
pycmd                thm
pycolumnize          kushal
pyee                 crisdel
pyflakes             aekoroglu
pyjokes              pwhalen
pyke                 spot
pylibacl             frankcrawford kevin szpak
pylibgamerzilla      dulsi
pyotherside          m4rtink orion
pyowm                pwhalen
pyp2rpm              gordonmessmer
pyppd                twaugh
pypy                 churchyard thrnciar
pyscard              orion
pysysbot             fab
python-APScheduler   mmassari zuul
python-AppTools      orion
python-CacheControl  jonathanspw thrnciar
python-CommonMark    jujens
python-GeoIP         jonathanspw pingou
python-IPy           kevin
python-ModulemdTranslationHelpers sgallagh
python-Pallets-Sphinx-Themes frantisekz
python-PyPDF2        aarem
python-PyRSS2Gen     adamwill
python-QtPy          jonathanspw lbalhar
python-TestSlide     dcavalca salimma
python-WSGIProxy2    ondrejj
python-XStatic-Angular-UUID rdopiera
python-XStatic-Angular-Vis rdopiera
python-XStatic-Bootstrap-SCSS nikromen rdopiera
python-XStatic-FileSaver rdopiera
python-XStatic-JS-Yaml rdopiera
python-XStatic-Json2yaml rdopiera
python-aaargh        lbalhar
python-accept-types  orange-kao pwouters rominf rommell
python-acoustid      terjeros
python-adafruit-platformdetect fab
python-ailment       fab mikep
python-aiodns        limb
python-aiohttp-negotiate kwizart
python-aioitertools  mattia
python-aiomysql      jonathanspw
python-aioresponses  gsauthof
python-aiorpcx       jonathanspw jonny
python-aiosqlite     fedepell jonathanspw
python-aiounifi      jonathanspw
python-ajsonrpc      dcavalca
python-allpairspy    jonny
python-amqp          eharney frantisekz raphgro
python-animatplot    davidsch
python-anykeystore   kevin
python-apipkg        ktdreyer thm
python-apypie        ogajduse
python-archinfo      fab mikep
python-arpy          bochecha jonathanspw
python-asciitree     qulogic
python-ase           besser82 marcindulak
python-ast-monitor   gui1ty
python-asteval       fab
python-asysocks      fedepell
python-audioread     terjeros
python-autobahn      jujens
python-autopep8      canderson9
python-avocado       cleber
python-awesomeversion fab
python-azure-mgmt-advisor jcline
python-azure-mgmt-apimanagement jcline
python-azure-mgmt-appconfiguration jcline
python-azure-mgmt-applicationinsights jcline
python-azure-mgmt-authorization jcline
python-azure-mgmt-batch jcline
python-azure-mgmt-batchai jcline
python-azure-mgmt-billing jcline
python-azure-mgmt-botservice jcline
python-azure-mgmt-cdn jcline
