Maintainers by package:
0ad                  kalev limb pcpa
cppzmq               qulogic
crossguid            melmorabity
crossguid2           sagitter
crrcsim-addon-models dwrobel
csmith               vmihalko
cstream              ndim
ctan-cm-lgc-fonts    aekoroglu
ctan-kerkis-fonts    aekoroglu
cubeb                mystro256
curlpp               filiperosset
cvise                mpolacek
cwm                  bmeneguele
cxxtools             martinkg
d-din-fonts          ngompa
dSFMT                laxathom nalimilan
daala                kwizart slaanesh
daggy                atim ignatenkobrain milovidov
dahdi-tools          bruno jsmith
dapl                 honli
daq                  marcindulak
darkhttpd            cicku filiperosset
dbus-c++             drago01
dbus-sharp           alexl rhughes rstrode tpokorra
dbus-sharp-glib      tpokorra
dcfldd               rebus
ddnet                ngompa rffontenelle
ddpt                 sharkcz
ddupdate             leamas
debconf              ngompa
debootstrap          jonathanspw lkundrak ngompa
decentxml            mbooth mizdebsk mkoncek
dehydrated           pwouters robert
deluge               mooninite
detox                filiperosset slankes
dev86                jnovy lkundrak
devio                sharkcz
dicomanonymizer      alciregi
diff-pdf             vascom
dionaea              rebus
dirgra               didiksupriadi41
disciplining-minipod abulimov dcavalca leoleovich pcullen pmazzini salimma vfedorenko yarek
discount             tdawson
disk-utilities       dcavalca
dispenso             salimma
dmenu                cicku mathstuf mrc0mmand psabata
dmg2img              peter
dmtx-utils           sharkcz
dnf-plugin-cow       dcavalca ngompa salimma
dnssec-tools         mspacek
dnstracer            jonathanspw
docbook-slides       anezbeda ovasik
docbook2X            slankes
docbook5-style-xsl   anezbeda osloup ovasik tdawson
doclifter            defolos
docparser            cheeselee topazus
doge                 churchyard
dolphin-connector    poetinha
dom4j                jwrdegoede mizdebsk mkoncek sdgathman
domoticz             mooninite
douceur              athoscr
dpdk                 aconole linville tredaell
dpkg                 cheeselee ngompa slaanesh
drehatlas-widelands-fonts jwrdegoede
driverctl            fbl tredaell
dropbear             cicku fedepell
dropbox-api-command  mathstuf
drpm                 jmracek mcbeeffx
drraw                xavierb
dssi                 tartina
dt                   agk mbroz okozina
dub                  dcavalca
duel3                jwrdegoede
duff                 echevemaster
dumb                 jwrdegoede
dumb-init            suve
dump1090             sdgathman
dvblinkremote        melmorabity
dvtm                 maxamillion psabata
dxf2gcode            dwrobel
dxpc                 ajax
dxvk-native          ngompa
dynaconf             dmsimard
dynamite             jwrdegoede
e16                  terjeros
e16-docs             terjeros
e16-epplets          terjeros
e16-keyedit          terjeros
e16-themes           terjeros
ebook-tools          siosm
ebtree               ingvar
ec2-metadata         manpaz
echo-icon-theme      alexl luya rhughes rstrode
ecj                  abbra
eclipse-swt          deamn
editres              terjeros
efl                  dchen spot
efont-unicode-bdf    mtasaka
egd                  spot
egl-gbm              ework ngompa slaanesh
eiskaltdcpp          vascom
ektype-mukta-fonts   fed500
electron-cash        jonny peter
electrum             js
elementary           konradm orphan spot
elements             aalvarez
elements-alexandria  aalvarez
elfio                ignatenkobrain orion
elisa-player         tripledes vascom
emacs-irsim-mode     sagarun
emacs-json-reformat  melmorabity
enblend              bpostle
enchant              limb
endless-sky          linkdupont
endlessh             mikelo2
enet                 bruno fcami jwrdegoede
engrampa             raveit65 robert
enlightenment        cicku dchen spot
entypo-fonts         leamas
enum                 kdudka ovasik
envytools            jwrdegoede lyude
eom                  raveit65 robert
ephemeral-port-reserve cstratak
erlang-base64url     bowlofeggs peter
erlang-bbmustache    peter
erlang-chronos       peter
erlang-cl            peter
erlang-cowboy        peter
erlang-eflame        peter
